"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Thematic Classification"
"Climate finance additionality: emerging definitions and their implications","https://scispace.com/paper/climate-finance-additionality-emerging-definitions-and-their-4jt7uyy7ae","2010","","","Jessica Brown
Neil Bird
Liane Schalatek","","http://www.indiaenvironmentportal.org.in/files/Schalatek_Climate_Finance_Additionality.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses additionality debate to discuss 'new and additional' resources, but lacks accounting methods, Rio markers, double‑counting safeguards, UNFCCC history, or critical performativity analysis.","The Copenhagen Accord calls for a collective commitment by developed countries to provide ‘new and additional resources...approaching USD 30 billion for the period 20102012 with balanced allocation between adaptation and mitigation... [and] in the context of meaningful mitigation actions and transparency on implementation, developed countries commit to a goal of mobilizing jointly USD 100 billion dollars a year by 2020 to address the needs of developing countries.’ Rapid and successful deployment of this international public finance is a critical first step in allowing developing countries to adapt to climate change and pursue actions that will allow them to move onto a low carbon development pathway. However, it remains unclear (1) how additionality is defined in the Copenhagen Accord when it promises ‘new and additional resources’; and (2) how such large sums of money are going to be raised. These considerations remain elusive in the Accord, but are fundamental to ensuring that financial commitments are met and secured in such a way that international public funds are not diverted away from long-term commitments to support development in poor countries. Therefore, further reflection is needed around how ‘new and additional’ is being defined and what this implies for developing countries.",""
"The UNFCCC work programme on long-term finance","https://scispace.com/paper/the-unfccc-work-programme-on-long-term-finance-17ue426fqp","2012","","","Tim Gore","","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses UNFCCC work programme context to discuss finance needs and delivery mechanisms; briefly references UNFCCC assessments but lacks methodological depth, grant‑equivalent analysis, private‑finance tracking, double‑counting safeguards, or critical performativity discussion.","New sources of climate finance must be found to curb the alarming shift in Official Development Assistance (ODA) to climate finance and to protect the development gains of recent decades. Climate change is an additional burden for poor countries, and requires additional resources to tackle it. 
The outcomes of the UNFCCC Work Programme on Long-term Finance will determine whether the goals of reaching the target of $100bn per year by 2020 committed to at Copenhagen, and keeping global warming below 2oC, let alone the 1.5°C needed, will stay within reach. Oxfam believes that the UNFCCC Work Programme must lead to a breakthrough in delivery of scaled-up, new and additional, predictable finance for adaptation and mitigation in developing countries. This briefing examines financing needs, possible sources of finance and delivery mechanisms, and action needed at COP 18.",""
"Trends of private climate finance mobilised for developing countries","https://scispace.com/paper/trends-of-private-climate-finance-mobilised-for-developing-g1rqf1lu7f","2023","Paratext","","","10.1787/edc32c29-en","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Analyzes private finance mobilisation trends and leveraging mechanisms, offering data useful for tracking but lacks methodological depth, OECD markers, double‑counting, UNFCCC history, or critical performativity analysis.","This chapter examines trends in private climate finance mobilised by bilateral and multilateral public climate finance interventions between 2016 and 2021. It presents disaggregated analysis of private climate finance mobilisation across a range of dimensions. It analyses the use of different leveraging mechanisms in mobilising private finance, the distribution of private climate finance across developing country geographies and income groups, and the role of different development actors. ",""
"Mobilizing private sector investment for climate action: enhancing ambition and scaling up implementation","https://scispace.com/paper/mobilizing-private-sector-investment-for-climate-action-2xpl1huzqc","2021","Journal Article","Journal of Sustainable Finance and Investment","Bhim Adhikari
Lolita Shaila Safaee Chalkasra","10.1080/20430795.2021.1917929","https://www.tandfonline.com/doi/pdf/10.1080/20430795.2021.1917929","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses private‑sector finance mobilization to discuss scaling climate action, touches on additionality but lacks detailed accounting methodology, Rio markers, double‑counting, UNFCCC history, or critical quantification analysis.","Private-sector finance has been widely seen as a step to scale up access to resources for ambitious climate action, given the limited availability of public resources. However, there is a knowledge...",""
"Introduction to the Handbook of International Climate Finance: is climate finance a meteoric fashion or a stable pillar of the global response to anthropogenic climate change?","https://scispace.com/paper/introduction-to-the-handbook-of-international-climate-1uw8s2bs","2022","Book Chapter","","","10.4337/9781784715656.00005","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides historical overview of international climate finance and mentions UNFCCC evolution, but lacks methodological development, Rio marker analysis, private‑finance tracking, double‑counting mitigation, or critical performativity analysis.","The concept of international climate finance channelled from developed to developing countries has been developed over the last decade, but its roots date back to the early 1990s. Despite the high relevance of the topic in the international climate negotiations, illustrated by the (missed) target to mobilise USD 100 billion by 2020, there is no book that provide an overview accessible to practitioners and the interested public alike. The Handbook of International Climate Finance closes this gap by bringing together experts and practitioners who have been working on international climate finance, looking how the international community can learn from the past to achieve a brighter future. On the basis of the definition of international climate finance as transboundary flows of finance triggered by public interventions for mitigation and adaptation, our contributors assess past approaches to international climate finance like fast start finance, discuss effectiveness of different channels for climate finance like the Green Climate Fund, debate challenges encountered and elucidate national strategies of donors and recipients, such as Switzerland and Rwanda. The role of different interest groups is discussed throughout chapters. An important section of the Handbook elaborates perspectives for international climate finance through multilateral channels, from the private sector, and blending of different sources of finance, including international carbon markets. ",""
"Beyond Opacity: Distributed Ledger Technology as a Catalyst for Carbon Credit Market Integrity","https://scispace.com/paper/beyond-opacity-distributed-ledger-technology-as-a-catalyst-coswb1ydkgo6","2025","Journal Article","Computers","Stanton Heister
Felix Kin Peng Hui
David I. Wilson
Yaakov Anker","10.3390/computers14090403","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses DLT to improve carbon credit market transparency and mitigate double‑counting, but does not address climate‑finance accounting methods, OECD markers, private‑finance tracking, UNFCCC history, or critical quantification politics.","The 2015 Paris Agreement paved the way for the carbon trade economy, which has since evolved but has not attained a substantial magnitude. While carbon credit exchange is a critical mechanism for achieving global climate targets, it faces persistent challenges related to transparency, double-counting, and verification. This paper examines how Distributed Ledger Technology (DLT) can address these limitations by providing immutable transaction records, automated verification through digitally encoded smart contracts, and increased market efficiency. To assess DLT’s strategic potential for leveraging the carbon markets and, more explicitly, whether its implementation can reduce transaction costs and enhance market integrity, three alternative approaches that apply DLT for carbon trading were taken as case studies. By comparing key elements in these DLT-based carbon credit platforms, it is elucidated that these proposed frameworks may be developed for a scalable global platform. The integration of existing compliance markets in the EU (case study 1), Australia (case study 2), and China (case study 3) can act as a standard for a global carbon trade establishment. The findings from these case studies suggest that while DLT offers a promising path toward more sustainable carbon markets, regulatory harmonization, standardization, and data transfer across platforms remain significant challenges. ",""
"The state of tracking financial flows under the Paris Agreement - A primer for policy makers in India","https://scispace.com/paper/the-state-of-tracking-financial-flows-under-the-paris-1x5uhc2tun","2019","","","Asbjørn Torvanger
Sophie Dejonckheere
Tamiksha Singh
Aanchal Pruthi","","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Reviews historical UNFCCC finance debates, but lacks original methodology, Rio marker analysis, private‑finance tracking, double‑counting solutions, or critical performativity analysis.","The 21st Conference of Parties to the UNFCCC in 2015 saw international consensus on climate action through the adoption of the Paris Agreement. Article 9 focuses on mobilization and disclosure of climate finance. Drafting the rules for climate finance reporting has remained a contentious issue that has created a divide between developed and developing countries. According to data compiled by UNFCCC, the face value of climate finance flows from developed to developing countries was at 75 billion USD in 2016. Developed and developing countries have, at times taken quite different views on definitions and best practices for categorizing and tracking climate finance. For example, a 2015 OECD and Climate Policy Initiative (CPI) report estimated climate finance from developed to developing countries at 62 billion USD in 2014. This estimate was strongly contested by an Indian report, which countered that new and additional finance was limited to 2.2 billion USD. This report argued that the methodologies used by OECD and CPI are inconsistent and lack transparency, with no independent verification or consultations with the developing country parties. This exchange sheds light on some of the key challenges faced by stakeholders hoping to track and report on climate finance. With this context, the report aims to draw out some of the major challenges faced in tracking climate finance flows and discuss the major arguments in favour and against different positions, put in an Indian context. The report tries to compile this overview with the hope that it serves as a useful reference for government, policy makers and climate finance experts on recent developments and barriers for tracking climate finance. Language of Report: English Cover picture by Peter Mollinga",""
"Additionality après Paris : stronghold for environmental integrity?","https://scispace.com/paper/additionality-apres-paris-stronghold-for-environmental-an3qxx19rh","2018","","","Lukas Hermwille
Wolfgang Obergassel","","https://scispace.com/pdf/additionality-apres-paris-stronghold-for-environmental-an3qxx19rh.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses additionality analysis to assess environmental integrity of Paris offsets; does not develop finance accounting methods, Rio markers, or double‑counting safeguards, and lacks UNFCCC historical or critical quantification discourse.","This policy paper reviews the concept of additionality in the context of the Paris Agreement. Additionality is a key criterion that helps to maintain the environmental integrity of the Paris Agreement, especially when units created under Article 6.2 or 6.4 are used for offsetting purposes whether that is by Parties in order to meet their NDCs or whether by other entities with legal mitigation obligations.
It does so by first reviewing key concepts such as offsetting, environmental integrity, and baseline. Subsequently, it explores the context of additionality under the Paris Agreement. More specifically it discusses what should be counted as the baseline for additionality demonstration. The subsequent chapter then highlights the challenges with establishing additionality, that is establishing a causal relationship between a policy intervention and a proposed activity. Finally, the Policy Paper discusses aspects of international governance with respect to additionality.",""
"Leverage in IFC’s climate-related investments : a review of 9 years of investment activity (fiscal years 2005-2013)","https://scispace.com/paper/leverage-in-ifc-s-climate-related-investments-a-review-of-9-45gbe3a393","2013","","","Stephanie J. Miller
Vikram Widge
Shilpa Patel
Rusmir Music","","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses IFC investment data to illustrate private‑finance mobilization, but lacks methodological development, OECD‑DAC markers, double‑counting safeguards, UNFCCC history, or critical performativity analysis.","This paper examines International Finance Corporation’s (IFC’s) climate-related portfolio, with a view to discerning trends in the nature of the activities that have been financed, as well as the leverage and mobilization achieved In 2005, IFC began tracking its activities related to climate change IFC’s activities have grown in volume as well as breadth of sectors involved to reach 14 percent of total own account commitments in 2013 In part, this is due to a greater focus by IFC and explicit institutional mandate, but it is equally attributable to trends in the market, where renewable energy’s high growth rates - in particular in wind and solar photovoltaic (PV) - have begun to extend in a significant way to emerging markets The public sector has a large role to play in creating an appropriate enabling environment conducive to investment in general, and low-carbon activities in particular This paper demonstrates that significant private finance can be mobilized for climate-related investment It attempts to glean lessons from IFC’s extensive experience in financing such investment; these insights can inform the deliberations currently taking place in the design of international climate finance mechanisms",""
"Scaling up and replicating effective climate finance interventions","https://scispace.com/paper/scaling-up-and-replicating-effective-climate-finance-3cxff805qj","2014","Posted Content","","Takayoshi Kato
Jane Ellis
Pieter Pauw
Randy Caruso","","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses scaling‑up case studies to discuss private‑finance mobilisation, but lacks accounting methodology, Rio markers, double‑counting, UNFCCC history, or critical quantification analysis.","There is widespread recognition that climate finance needs to be scaled up from its current levels. However, there is no clear view on how developed countries can efficiently and effectively mobilise further climate finance to meet the needs of developing countries. Developed countries have committed to mobilise USD 100 bn per year of climate finance for developing countries by 2020 from a variety of sources. These include both public and private finance, thus the private sector is likely to play a significant role in the mobilisation of climate finance to meet this commitment. This paper explores how scale-up and replication of effective climate finance interventions efficiently mobilise private climate finance. The interventions examined in the paper have already been, or are being, scaled up or replicated. Scaling-up and replication of such climate finance interventions could be an efficient way to increase the private sector’s interest in mobilisation of climate finance, and thus to make progress towards the USD 100 bn per year goal by 2020. The paper draws lessons from selected mitigation and available adaptation case studies at project- and programme-levels as well as from experience with international climate funds. The paper examines three key aspects needed to scale up and replicate climate finance. The first is the institutional structures and decision-making framework of the climate finance source, its aims, the scale at which it operates and how barriers to scaling-up and replication have been addressed. Second, the paper explores how demonstrating effective low-carbon, climate-resilient technologies and systems can facilitate scale-up and replication. Third, the paper discusses the influence of policies to enhance domestic enabling environments for scaling-up and replication. Montee en puissance et reiteration des interventions efficaces de financement climat Il est largement admis qu’une augmentation des financements climatiques est indispensable. Cependant, on ne voit pas bien comment les pays developpes peuvent mobiliser, de maniere efficace et rentable, davantage de financements de ce type pour repondre aux besoins des pays en developpement. Les pays developpes se sont engages a mobiliser 100 milliards USD par an provenant de diverses sources d’ici a 2020 pour financer la lutte contre le changement climatique dans les pays en developpement. Comme il s’agit aussi bien de financements publics que prives, le secteur prive jouera probablement un role important dans le respect de cet engagement. Ce rapport etudie comment la montee en puissance et la reiteration des interventions efficaces en matiere de financement climat permettent de lever des fonds prives de facon efficiente pour financer des actions climatiques. Les interventions qui y sont analysees ont d’ores et deja ete appliquees de nouveau ou a plus grande echelle : donner plus d’ampleur a ce type d’operations ou les reiterer pourrait donc etre un moyen efficient d’interesser davantage le secteur prive et de progresser vers la mobilisation de 100 milliards USD par an visee a l’horizon 2020. Ce rapport degage les enseignements a tirer de certaines etudes de cas portant sur l’attenuation et l’adaptation au niveau de projets ou de programmes, ainsi que de l’experience acquise avec les fonds internationaux pour 3 le climat. Il aborde trois aspects determinants et necessaires pour donner plus d’ampleur aux operations de financement climatique et les multiplier. Le premier concerne l’architecture institutionnelle et le cadre decisionnel de la source de financement climat, ses objectifs, l’echelle a laquelle elle opere et les moyens mis en oeuvre pour surmonter les obstacles qui empechaient de passer a une echelle superieure et de reproduire les operations. Le rapport explique en deuxieme lieu comment cela est facilite par la demonstration de technologies et de systemes bas carbone, resilients au changement climatique et performants, pour ensuite aborder, en troisieme lieu, l’influence des politiques qui ameliorent les conditions nationales favorables a l’augmentation de ces financements et a la reproduction des operations.",""
"Innovative Finance Solutions for Climate-Smart Infrastructure – New Perspectives on Results-Based Blended Finance for Cities","https://scispace.com/paper/innovative-finance-solutions-for-climate-smart-23irvgfmwu","2019","","","Charalampos Lypiridis
Michael Kuzio","","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses results‑based blended finance to derisk projects and attract private capital, touching on additionality, but lacks accounting methodology, Rio markers, double‑counting, UNFCCC history, or critical quantification analysis.","There is clear evidence on the need for cities to rapidly scale-up their investments in climate change mitigation programs and build strong foundations for climate-resilient communities. Investing in low carbon infrastructure and climate resilience can generate competitive returns and is crucial for preventing a reversal of the development gains made in low-income countries up until now. Overcoming the barriers in financing climate-smart infrastructure in cities means adjusting their currently unattractive and inadequate risk-return investment profile. Our analysis explains that well-targeted concessional funding can derisk the financing structure of a project and turn a typical non-bankable project to financial viable one. Additionally, it makes the case for results-based blended finance approaches that strengthen the accountability in project development by linking financing to the achievement of measurable, pre-agreed results. Addressing the lack of creditworthiness, the limited accountability and capacity in institutions and service delivery practices should be at the center of urban investment strategies. The report highlights the need for technical assistance and capacity building programs that will support cities bring order to their financing and accounting practices, support shadow credit ratings and help them become creditworthy. It is estimated that only 20 percent of the 500 largest cities in developing countries are considered creditworthy. Cities and development partners face a common challenge: Making the most effective use of available public finance instruments and disburse scarce public (concessional) funds in a way that maximally leverages private sector co-investments.",""
"Accounting for Carbon Offsets – Establishing the Foundation for Carbon-Trading Markets","https://scispace.com/paper/accounting-for-carbon-offsets-establishing-the-foundation-gxijsw9z","2023","Journal Article","Social Science Research Network","Robert S. Kaplan
Karthik Ramanna
Marc Roston","10.2139/ssrn.4362921","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses accounting principles to audit carbon offsets, addressing double‑counting risks, but does not engage climate‑finance methods, OECD markers, private‑finance tracking, UNFCCC history, or critical performativity analysis.","Tackling climate change requires not only reducing GHG emissions but also removing GHG from the atmosphere. Carbon-offset producers purport to provide such removals. But existing carbon-offset markets have been criticized for poor measurement practices and inadequate controls, resulting in transaction of products that do not materially sequester carbon. To address these challenges, we apply basic financial-accounting principles to develop an accurate and auditable framework for offset accounting. The offset-accounting principles in this paper complement and extend the E-liability method of accounting for GHG emissions. Together, rigorous accounting for emissions and offsets can improve and expand markets for impactful decarbonization.",""
"Chapter 17 Climate finance for sustainable development","https://scispace.com/paper/chapter-17-climate-finance-for-sustainable-development-37jx57f6","2022","Book Chapter","","","10.1515/9783110733488-017","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Reviews UNFCCC finance mechanisms and historical disputes, but lacks primary accounting methods, Rio marker analysis, private‑finance tracking, double‑counting mitigation, or critical quantification theory. Provides contextual overview of UNFCCC evolution.","Finance is one of the central aspects necessary for combatting climate change and is covered by a wide range of mechanisms, institutional arrangements and governing bodies with the United Nations Framework Convention on Climate Change (UNFCCC), validating claims that the Convention is indeed both a regime complex and a complex regime. The chapter begins by outlining those arrangements historically and how they, and the responsibilities pertaining to them, have evolved over time. It continues with a summary of some of the main points of contention, not the least of which have been disputes over the provision of resources from developed to developing countries, which have served to reinforce the North/ South divide, notably in the context of climate finance. The remainder of the chapter summarises the key themes and findings of the contributing authors to this section of the Handbook, who discuss the strengths and weaknesses of some of the central mechanisms for financing climate action within the UNFCCC, and beyond. They provide recommendations as to how the integrity of finance can be safeguarded, both within the Convention and beyond, where the impacts of poverty - and COVID-19 - make resilience in the face of the escalating climate emergency especially difficult. ",""
"Quantifying, economising, and marketising: democratising the social sphere?","https://scispace.com/paper/quantifying-economising-and-marketising-democratising-the-2aztpwqd14","2016","Journal Article","Sociologie Du Travail","Liisa Kurunmäki
Andrea Mennicken
Andrea Mennicken
Peter Miller","10.1016/J.SOCTRA.2016.09.018","https://pure.mpg.de/pubman/item/item_2453342_2/component/file_2522002/SdT_58_2016_Mennicken.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses critical analysis of quantification's performative politics, but does not address climate‑finance methods, OECD markers, private‑finance tracking, double‑counting, or UNFCCC history.","In recent decades, there has been an avalanche of numbers in public life, one that matches that which occurred in the first half of the nineteenth century. The difference today is that many of the numbers that are now so central to political rule pertain to performance, and depend on a felicitous interlocking of quantifying, economising, and marketising. The calculated management of life is at a critical juncture, and it is essential that we consider carefully how this is affecting who we are, what we have become, and who we wish to be. Only a few decades ago, this bandwagon seemed limited or at least focused in its reach, yet it now appears as if no domain of human endeavour can escape. We argue that it is important to differentiate quantifying, economising, and marketising, so as to counter the often phobic response to the unrelenting march of numbers in modern political rule. We call for greater attention to the role of accounting numbers, for accounting numbers go beyond the abstract models of economics and allow a form of action on the actions of others that economics does not. We argue also for greater attention to the conditionality of the performativity of quantification, so that we can identify the conditions under which numbers produce effects, and the varying nature and extent of those effects. Finally, we consider the thorny issue of “democratising” the social sphere, and note that it is only recently that quantification has been largely annexed by the phenomenon dubbed neoliberalism.",""
"The Climate Financialization Trap: Claiming for Public Action","https://scispace.com/paper/the-climate-financialization-trap-claiming-for-public-action-2lhe1ydc","2023","Journal Article","Sustainability","Federica Viganò","10.3390/su15064841","https://scispace.com/pdf/the-climate-financialization-trap-claiming-for-public-action-2lhe1ydc.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Offers a critical, political perspective on climate finance reliance, but lacks methodological development, OECD‑DAC markers, private‑finance tracking, double‑counting mitigation, or UNFCCC historical analysis.","This opinion paper aims to offer a critical assessment on the prevalence of solutions to the climate change problem that rely on climate finance. The paper briefly recalls the key milestones in the evolution of climate finance and highlights what is referred to as a “climate finance trap,” offering some crucial insights that might help remedy potential systemic distortions and that vehemently demand public action in the domain of climate policy.",""
"Introduction: The international political economy of green finance","https://scispace.com/paper/introduction-the-international-political-economy-of-green-7bne0yz1l11s","2025","Journal Article","Competition and Change","Sarah Sharma
Milan Babić","10.1177/10245294241310546","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses IPE lens to critique green finance politics, offering a critical view of quantification but lacks concrete accounting methods, OECD markers, private‑finance tracking, double‑counting safeguards, or UNFCCC historical analysis.","From IPCC reports to global asset managers and governments, calls for more green finance to fuel the sustainability transition are ubiquitous. Concurrently, the critiques of a benign embrace of financial techniques, products, and flows as solutions to the climate crisis are growing louder. As a field of inquiry, IPE has the right tools to address such controversies productively. Yet, we diagnose a lack of what we call a deep engagement of IPE with epistemic and practical questions of what green finance is, how it operates, and its outcomes. The ambition of this special issue is to develop a research agenda that examines the contemporary global and concrete forms of green finance and its governance in order to better understand the following dynamics: first, how political and economic power relations within global finance shape environmental governance outcomes, and second, how the climate crisis itself influences the governance of global finance. To facilitate such thinking, we propose to understand green finance as an evolving ecosystem in the broader web of global finance instead of a specific instrument, asset class or concept. We hold this to be a fruitful approach to engage questions of green finance in both a global and concrete manner across different sectors, geographies, actors, and structures. By acknowledging the global nature and implications of green financial flows, we can push forward thinking not only on climate change and environmental governance in IPE, but also turn attention to the ongoing contestations, contingencies, and crises of finance in the global political economy. ",""
"Double Counting of Emission Reductions Undermines the Credibility of Corporate Mitigation Claims","https://scispace.com/paper/double-counting-of-emission-reductions-undermines-the-3jyicetdlt","2024","Journal Article","Environmental Science & Technology","Guosong Ma
Maosheng Duan","10.1021/acs.est.4c03792","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses corporate renewable electricity data to expose double‑counting risks, offering transparency insights, but does not address finance accounting, OECD markers, private‑finance tracking, UNFCCC history, or critical performativity analysis.","Companies are increasingly relying on emission reductions attributable to their adoption of renewable electricity to achieve net-zero emission targets. However, there is a risk of double counting of emission reductions threatening the credibility of corporate climate actions due to defective accounting rules of GHG emissions related to electricity consumption and the overlap between different market-based instruments, including carbon credit markets, renewable power purchase agreements, and renewable energy certificates. Using data of 63 major Chinese companies in seven sectors, we quantitatively assess the risks of double counting related to corporate sourcing of renewables and their consequent influences on the alignment of corporate emission trajectories with the 1.5 °C goal of the Paris Agreement. Results show that 7.1% of the electricity consumed by sample companies in 2021 was from renewable energy procurement and deployment, with which they reported 8.27 Mt of CO2e emission reductions compared to the scenario with no renewable electricity consumption. However, emission reductions that could be double counted are predicted to be 0.9–1.3 times as many as emission reductions that companies will report during 2021–2030. After adjustment of the reported emissions that might be underestimated due to double counting, the overall emission trajectories of sample companies are no longer aligned with the 1.5 °C goal. Our findings suggest that it is urgently needed to improve the corporate carbon accounting rules and increase the transparency of corporate carbon disclosures. ",""
"Quantifying, economising, and marketising: democratising the social sphere?","https://scispace.com/paper/quantifying-economising-and-marketising-democratising-the-3r7fnq4c4s","2016","Posted Content","LSE Research Online Documents on Economics","Liisa Kurunmäki
Andrea Mennicken
Andrea Mennicken
Peter Miller","","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses critical theory of quantification to examine political effects, but does not address climate‑finance methods, OECD markers, private‑finance tracking, double‑counting, or UNFCCC history.","In recent decades, there has been an avalanche of numbers in public life, one that matches that which occurred in the first half of the nineteenth century. The difference today is that many of the numbers that are now so central to political rule pertain to performance, and depend on a felicitous interlocking of quantifying, economising, and marketising. The calculated management of life is at a critical juncture, and it is essential that we consider carefully how this is affecting who we are, what we have become, and who we wish to be. Only a few decades ago, this bandwagon seemed limited or at least focused in its reach, yet it now appears as if no domain of human endeavour can escape. We argue that it is important to differentiate quantifying, economising, and marketising, so as to counter the often phobic response to the unrelenting march of numbers in modern political rule. We call for greater attention to the role of accounting numbers, for accounting numbers go beyond the abstract models of economics and allow a form of action on the actions of others that economics does not. We argue also for greater attention to the conditionality of the performativity of quantification, so that we can identify the conditions under which numbers produce effects, and the varying nature and extent of those effects. Finally, we consider the thorny issue of “democratising” the social sphere, and note that it is only recently that quantification has been largely annexed by the phenomenon dubbed neoliberalism.",""
"Leveraging Private Investment in the Pacific","https://scispace.com/paper/leveraging-private-investment-in-the-pacific-37tlanoi2ngw","2024","Journal Article","","Rachel Cooper","10.19088/k4dd.2024.025","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses private‑investment strategies to attract climate finance in Pacific SIDS, touching on additionality via de‑risking, but lacks accounting methodology, Rio markers, double‑counting, UNFCCC history, or critical quantification analysis.","This report examines investment opportunities and needs in Pacific Small Island Developing States (SIDS), emphasising climate finance, renewable energy, and the blue economy. It highlights the challenges faced by Pacific SIDS, such as economic vulnerabilities and high climate risk. Key strategies to attract private investment include improving enabling environments, de-risking investments, and enhancing project pipelines. Existing investment vehicles like blended finance, green bonds, and regional finance facilities are discussed, along with recommendations to integrate climate risk into planning and boost public financial management. ",""
"Blended finance for agriculture: exploring the constraints and possibilities of combining financial instruments for sustainable transitions.","https://scispace.com/paper/blended-finance-for-agriculture-exploring-the-constraints-4uhytzqseo","2020","Journal Article","Agriculture and Human Values","Tanja Havemann
Christine Negra
Fred Werneck","10.1007/S10460-020-10131-8","https://scispace.com/pdf/blended-finance-for-agriculture-exploring-the-constraints-4uhytzqseo.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses blended‑finance framework to discuss additionality and private‑capital mobilisation in agriculture; lacks climate‑finance accounting methods, OECD‑DAC markers, double‑counting safeguards, UNFCCC history, or critical quantification analysis.","Transitioning to sustainable agricultural systems is imperative to meet the global Sustainable Development Goals (SDGs). Achieving more sustainable agricultural production systems will require significant additional capital, however this cannot be covered by the current financial market setup, which dissociates public and private funders. Blended finance, where concessionary development-oriented funding is used to mobilize additional private capital, is essential. To ensure that the limited pool of concessionary funding is used efficiently and effectively, a shared understanding of the roles and limitations of public and private funders is necessary. In this paper, we describe the high-level funding gap for sustainable agriculture, the general landscape of agricultural finance, and the concept and potential roles of blended finance in this context. This paper introduces the conditions under which different financing mechanisms can contribute to addressing barriers related to sustainable agriculture investments. It highlights that multiple funding modalities must be utilized in order to achieve agricultural investment at a meaningful level and encourages greater exploration of the range of blended financing structures to increase SDG-related agriculture investments.",""
"Calculative Practices Shaping the Global Accountability Forum for Climate Agenda","https://scispace.com/paper/calculative-practices-shaping-the-global-accountability-3s1m2n6xfdki","2024","Journal Article","Financial Accountability and Management","Thiago Vitor Ferreira Soares
André Carlos Busanelli de Aquino","10.1111/faam.12419","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses critical analysis of calculative practices to examine performativity and exclusion in climate governance, but lacks finance‑specific accounting methods, OECD markers, private‑finance tracking, double‑counting safeguards, or UNFCCC historical accounting evolution.","ABSTRACT Calculative practices are everywhere, including the enactment and diffusion of sustainable development goals, such as quantifying and monetizing carbon markets, criteria for allocating donations for sustainability programs, and performance measurement of compromises and goals. We critically explore the performativity and counter‐performativity from the calculative practices orbiting and shaping the annual debate on climate governance and how they are related to the vulnerability of populations. Our qualitative analysis comprised a comprehensive set of documents produced by enrolled participants of meetings and workshops between two annual Conferences of the Parties of the United Nations. We identified and exemplified three calculative practices, and despite their intended performativity, some counter‐effects, like social exclusion and criticism by stakeholders, arise. ",""
"Die Politisierbarkeit ökonomischer Modellwelten","https://scispace.com/paper/die-politisierbarkeit-okonomischer-modellwelten-b0akkfnqxpq1","2024","Journal Article","Arbeit und Organisation","Carsten Damm","10.14361/9783839475331","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Analyzes performative politics of economic models, offering a critical lens relevant to quantification debates, but does not address climate‑finance accounting, OECD markers, private‑finance tracking, double‑counting, or UNFCCC history.","Dem Zusammenhang zwischen wirtschaftswissenschaftlichen Modellen und modelliertem Wirtschaftsleben kommt eine Schlüsselbedeutung bei der Bewältigung gesellschaftlicher Krisen zu. Wenn ökonomische Modellwelten mit anderen Welten interagieren, spricht man von »Performativität«. Carsten Damm erforscht Phänomene politisierender Performativität, die sich dadurch auszeichnen, dass Personen ökonomische Modellwelten zur Rechtfertigung normativer Geltungsansprüche heranziehen. Damit stellt er nicht nur kritische Fragen an das Verhältnis zwischen Wirtschaftswissenschaft und Gesellschaft im Allgemeinen, sondern behandelt diese auch empirisch durch ein interdisziplinär entwickeltes Forschungsdesign mit Anschlusspotenzial für künftige Analysen. ",""
