doi,title,first_author,year,journal,cited_by_count,cit_per_year,score,is_institutional_report
10.36871/ek.up.p.r.2025.03.07.008,RESEARCH ON THE NETWORK-BASED REDISTRIBUTION MECHANISM OF CROSS-BORDER CARBON RESPONSIBILITY IN SCO MEMBER STATES FROM THE PERSPECTIVE OF “SOVEREIGNTY OF EMBODIED CARBON”,Zhifeng Zhang,2025.0,EKONOMIKA I UPRAVLENIE PROBLEMY RESHENIYA,0.0,0.0,0.074,False
10.1057/978-1-137-44704-3_9,"Some Knowledge-Representation, Group-Decision and Risk-Perception Implications of Board-Governance Models and the Corporations-Model",Michael I. C. Nwogugu,2019.0,Palgrave Macmillan UK eBooks,0.0,0.0,0.074,False
10.1080/00207233.2019.1644025,Evaluating greenhouse gas emission reductions in a synthetic fibre industrial plant with a PET-recycling processing unit,Héber Soares Caixeta,2019.0,International Journal of Environmental Studies,0.0,0.0,0.074,False
10.1108/oxan-db245299,Nature-based climate solutions to grow globally,,2019.0,Emerald expert briefings,0.0,0.0,0.074,False
10.1108/oxan-db249357,International climate finance will be insufficient,,2019.0,Emerald expert briefings,0.0,0.0,0.074,False
10.11575/prism/37695,The Case for Participation in Cooperative Approaches Under the Paris Climate Accord,Patrick Smith,2019.0,PRISM (University of Calgary),0.0,0.0,0.074,False
10.36676/urr.v12.i2.1524,Financing Sustainability: The Role of Green Bonds in India's Low-Carbon Transition,M.S. Chauhan,2025.0,Universal Research Reports,0.0,0.0,0.074,False
10.1162/glep_e_00534,Introduction,Matthew J. Hoffmann,2019.0,Global Environmental Politics,0.0,0.0,0.074,False
10.1163/9789004322714_cclc_2018-0001-013,Call for EU to step up leadership as experts emphasise why a rulebook must drive ambition underpinned by adequate climate finance,,2019.0,Climate Change and Law Collection,0.0,0.0,0.074,False
10.1163/9789004322714_cclc_2018-0135-007,Green Climate Fund Takes Steps to Ensure Rights are Respected in Climate Finance,,2019.0,Climate Change and Law Collection,0.0,0.0,0.074,False
10.1163/9789004407411_012,Development Financing of Dispute Resolution Reform Projects: The Evolving Approach of the Asian Development Bank,Ramit Nagpal,2019.0,,0.0,0.0,0.074,False
10.20944/preprints201911.0129.v1,"Bootstrap ARDL Test on the Relationship among Trade, FDI and CO&lt;sub&gt;2&lt;/sub&gt; Emissions: Based on the Experience of BRICS Countries",Fumei He,2019.0,Preprints.org,0.0,0.0,0.074,False
10.2139/ssrn.3412561,The Green Climate Fund – Projections vs. Reality,Vasil Gechev,2019.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.21474/ijar01/9465,THE THEORETICAL PAN-AFRICAN EMISSIONS TRADING SYSTEM: A POLICY TOOL FOR CLIMATE CHANGE MITIGATION AIDING SUSTAINABLE ECONOMIC GROWTH IN AFRICA.,Avnish Roperia,2019.0,International Journal of Advanced Research,0.0,0.0,0.074,False
10.22004/ag.econ.307178,Carbon Pricing in the Private Sector,Chris Fawson,2019.0,,0.0,0.0,0.074,False
10.1162/glep_e_00497,Introduction,Steven J. Bernstein,2019.0,Global Environmental Politics,0.0,0.0,0.074,False
10.4324/9781315537689-15,Sharing the burden of climate change via climate finance and business models,Emilie Prattico,2018.0,,0.0,0.0,0.074,False
10.71097/ijsat.v15.i4.1392,Green Finance and Accounting: Accounting and Reporting of Environmentally Friendly Financial Products,Mehmet Ali Yüzbaşıoğlu,2024.0,,,0.0,0.074,False
10.5194/egusphere-egu24-723,Distribution and valuation of the biological carbon pump and its carbon sequestration: &amp;#160;Implications for international area-based management and climate finance,Fabio Berzaghi,2024.0,,0.0,0.0,0.074,False
10.22533/at.ed.1111928033,ANALYSIS OF THE INTRODUCTION OF GEOTECHNOLOGIES FOR THE VALUATION OF FOREST ENRIVONMENTAL SERVICES AND THE INTEGRATION OF CLEAN DEVELOPMENT MECHANISM FOR A SUSTAINABLE ECONOMY,Sidnei Fonseca Guerreiro,2019.0,Antonella Carvalho de Oliveira eBooks,0.0,0.0,0.074,False
10.1787/9789264308831-graph50-en,Infrastructure and production sectors receive the largest share of multilateral climate finance although the share of climate finance within these sectors is low,,2019.0,Multilateral Development Finance,0.0,0.0,0.074,False
10.1016/j.dsef.2026.100122,Sustainable finance research frontiers: A hybrid bibliometric–TCCM review,Roshan Kumar,2026.0,Development and sustainability in economics and finance.,0.0,0.0,0.074,False
10.1016/j.eap.2026.02.006,Talent subsidy policy and low-carbon innovation: Evidence from China,Ling Wang,2026.0,Economic Analysis and Policy,0.0,0.0,0.074,False
10.1016/j.energy.2026.140224,How can carbon finance drive renewable energy resilience? Insights from spatial spillovers,Qiqi Wu,2026.0,Energy,0.0,0.0,0.074,False
10.15798/kaici.2019.21.1.121,A Study on the Overseas Expansion Strategies for Geothermal Heating and Cooling System,Sunghan Jo,2019.0,Korea Association for International Commerce and Information,0.0,0.0,0.074,False
10.1016/j.indic.2026.101181,A tool for the estimation of the magnitudes and monetary values of ESS losses and returns on investment to combat degradation of agricultural resources,Yigezu A. Yigezu,2026.0,Environmental and Sustainability Indicators,0.0,0.0,0.074,False
10.1016/j.joclim.2025.100610,Safeguarding governance and advancing policy at the nexus of climate and health: a commercial determinants of health perspective,Daniel Hunt,2026.0,The Journal of Climate Change and Health,0.0,0.0,0.074,False
10.1016/j.ribaf.2026.103341,Public climate finance and corporate green innovation: Does external monitoring matter?,William Mbanyele,2026.0,Research in International Business and Finance,0.0,0.0,0.074,False
10.1016/j.rineng.2026.109632,Adapting Agriculture for Climate Resilience: Strategies for Sustainable production and Food Security,Yuvarajan Devarajan,2026.0,Results in Engineering,0.0,0.0,0.074,False
10.1002/essoar.10501372.1,Integrative Economic Evaluation of an Infrastructure Project as a Measure for Climate Change Adaptation: A Case Study of Irrigation Development in Kenya,Daiju Narita,2019.0,,0.0,0.0,0.074,False
10.1504/ijgenvi.2019.102299,The CDM low-hanging fruits problem under ex-ante and ex-post baselines,Etidel Labidi,2019.0,International Journal of Global Environmental Issues,0.0,0.0,0.074,False
10.1504/ijicbm.2020.10025604,Sustainable Finance: A Systematic Review,R. Jayaram,2019.0,International Journal of Indian Culture and Business Management,0.0,0.0,0.074,False
10.1515/9783839442678-012,Chapter 7: The British Context – Investments from a Home Country Perspective,Ariane Goetz,2019.0,transcript Verlag eBooks,0.0,0.0,0.074,False
10.1016/j.indic.2026.101160,Beyond vulnerability assessment: Integrating risk and capacity measurement in Tunisian communes adaptation—Evidence from nine communes,Tarek Gasmi,2026.0,Environmental and Sustainability Indicators,0.0,0.0,0.074,False
10.5167/uzh-177681,Evaluation of the activities of the foundation ”Future of the Carbon Market“,Gunnar Geyer,2019.0,Zurich Open Repository and Archive (University of Zurich),0.0,0.0,0.074,False
10.52153/prj1213003,Carbonvestments: Appraising Investments in a Carbonomics Environment,Janek Ratnatunga,2019.0,Management Accounting Frontiers,0.0,0.0,0.074,False
10.54097/sw921g53,Development And Countermeasures of Carbon Finance in The Construction Industry Under the Background of The Carbon Peaking and Carbon Neutrality,Yuxuan Wang,2024.0,Highlights in Business Economics and Management,0.0,0.0,0.074,False
10.54097/szqb1a91,Development Strategy of Carbon Finance in China Under the Low Carbon Economy Context,Yun Xia,2024.0,Frontiers in Business Economics and Management,0.0,0.0,0.074,False
10.54097/t3hd1k23,Analysis of Developing Commercial Bank Green Finance Programs,Liuyiyi Yang,2024.0,Highlights in Business Economics and Management,0.0,0.0,0.074,False
10.31577/filozofia.2019.74.5.3,Yasuní ITT Initiative and the Reinventing Sovereignty over Natural Resources,Petra Gümplová,2019.0,Filozofia,0.0,0.0,0.074,False
10.25501/soas.00032267,"The political economy of low carbon, climate resilient development in Bangladesh",Maliha Muzammil,2019.0,SOAS Research Online (SOAS University of London),0.0,0.0,0.074,False
10.26021/860,"“Forests for life” or forests for carbon markets?The case of Choiseul Province, Solomon Islands",Kristen Lyons,2019.0,University of Canterbury Research Repository (University of Canterbury),0.0,0.0,0.074,False
10.22151/politikon.43.1,Behavioural Approach to International Climate Negotiations,Verónica Gutman,2019.0,Politikon IAPSS Journal of Political Science,0.0,0.0,0.074,False
10.12677/fin.2019.92010,Research on the Countermeasures for the Development of Carbon Finance Business of China’s Commercial Banks,鑫义 黄,2019.0,Finance,0.0,0.0,0.074,False
10.32479/ijeep.19617,"The Nexus Among CO2, Renewable Energy, Agricultural Production and Financial Development: Empirical Evidence from China and India",Recep Çelik,2025.0,International Journal of Energy Economics and Policy,0.0,0.0,0.074,False
10.5255/ukda-sn-853529,"CCCEP II: Carbon, competitiveness and trade 2007-2009",Ralf Martin,2019.0,London School of Economics and Political Science Research Online (London School of Economics and Political Science),0.0,0.0,0.074,False
10.5281/zenodo.3254906,MEDRESET. Assessing European Energy and Industrial Policies and Investments in the Southern Mediterranean Region from a Bottom-up Perspective,Lorenzo Colantoni Margherita Bianchi,2019.0,Zenodo (CERN European Organization for Nuclear Research),0.0,0.0,0.074,False
10.5281/zenodo.3475801,ROADMAP FOR ACHIEVING ADDITIONAL 2.5-3 BILLION TONS CO2E SEQUESTRATION FROM FORESTRY SECTOR BY 2030.,Jeevesh Sharma,2019.0,Zenodo (CERN European Organization for Nuclear Research),0.0,0.0,0.074,False
10.14943/doctoral.k13418,"A geographical study of farmers' adaptations to climate change in Khyber Pakhtunkhwa, Pakistan",Wahid Ullah,2019.0,Hokkaido University Collection of Scholarly and Academic Papers (Hokkaido University),0.0,0.0,0.074,False
10.3280/efe2018-001009,Enablers and constraints of localized climate financing: The case of a second-tier city in the Philippines,Catherine Roween C. Almaden,2019.0,ECONOMICS AND POLICY OF ENERGY AND THE ENVIRONMENT,0.0,0.0,0.074,False
10.34626/rraj-w275,How to Comply with Nationally Determined Contributions both in the Developed and the Less-Developed World,Luca Libardi,2019.0,Open Repository of the University of Porto (University of Porto),0.0,0.0,0.074,False
10.26650/pb/ss10.2019.001.055,The Public Bank Resurgent: Prospects of Democratization for Sustainable Development,Thomas Marois,2019.0,,0.0,0.0,0.074,False
10.5287/ora-vy1nzqoky,Unity through diversity: a study of a pan-Asian interfaith climate change network,"Parry, Emilie",2019.0,Oxford University Research Archive (ORA) (University of Oxford),0.0,0.0,0.074,False
10.5771/2566-7742-2019-1-74,"Polanyi, markets and environmental protection",Arild Vatn,2019.0,Culture Practice & Europeanization,0.0,0.0,0.074,False
10.5771/9783845294605-137,"Chapter 6: Forests, forest rights, benefit-sharing and climate change implications under Cameroonian law",Christopher F. Tamasang,2019.0,Nomos Verlagsgesellschaft mbH & Co. KG eBooks,0.0,0.0,0.074,False
10.5772/intechopen.81185,Voluntary Certification of Carbon Emission in Brazil - The Experience of an Electricity Trader,Fernando Amaral de Almeida Prado,2019.0,IntechOpen eBooks,0.0,0.0,0.074,False
10.5822/978-1-64283-004-0_11,Multilateral and Bilateral Mechanisms,R. Q. Thomas,2019.0,Island Press/Center for Resource Economics eBooks,0.0,0.0,0.074,False
10.58837/chula.the.2019.194,The application of FMEA to study the critical barriers to deploying carbon capture and storage in a Thai petroleum refinery,Amornrat Sethi,2019.0,,0.0,0.0,0.074,False
10.6084/m9.figshare.11314121,URBAN PRUNING WASTE: CARBON FOOTPRINT ASSOCIATED WITH ENERGY GENERATION AND PROSPECTS FOR CLEAN DEVELOPMENT MECHANISMS,Mónica Carvalho,2019.0,Figshare,0.0,0.0,0.074,False
10.6084/m9.figshare.8796665,Conditional nationally determined contributions in the Paris Agreement: foothold for equity or Achilles heel?,Pieter Pauw,2019.0,Figshare,0.0,0.0,0.074,False
10.7939/r3-q9pa-he05,Financial market services: Climate finance and climate change adaptation,Amrita Singh,2019.0,University of Alberta Library,0.0,0.0,0.074,False
10.25082/ree.2019.02.005,Scaling up private investment in low-carbon energy systems through regional cooperation: Effective trade policy measures,Kaliappa Kalirajan,2019.0,Resources and Environmental Economics,0.0,0.0,0.074,False
10.3188/szf.2019.0002,Wald in der globalen Klimapolitik: Stand heute und Perspektiven,Jürgen Blaser,2019.0,Schweizerische Zeitschrift fur Forstwesen,0.0,0.0,0.074,False
10.1007/978-3-319-71063-1_104-1,Climate Finance: Unlocking Funds Toward Achievement of Climate Targets Under the Paris Agreement,M. Motty,2019.0,Encyclopedia of the UN sustainable development goals,0.0,0.0,0.074,False
10.1007/978-3-319-93336-8_105,Climate Finance as a Catalyst for Initiating an African Green Revolution to Enhance Drought Resilience: Policy Prospects and Challenges,Dumisani Chirambo,2019.0,,0.0,0.0,0.074,False
10.1007/978-3-319-95885-9_104,Climate Finance: Unlocking Funds Toward Achievement of Climate Targets Under the Paris Agreement,M. Motty,2019.0,Encyclopedia of the UN sustainable development goals,0.0,0.0,0.074,False
10.12794/metadc1538740,Gender in Climate Policy and Climate Finance in Ghana,Emmanuela Opoku,2019.0,,0.0,0.0,0.074,False
10.36701/nukhbah.v11i1.2046,Carbon Credit Trading: A Juridical and Fiqh Muamalah Review,Nuradi Nuradi,2025.0,NUKHBATUL ULUM Jurnal Bidang Kajian Islam,0.0,0.0,0.074,False
10.1007/s10614-026-11311-0,Green Bonds and Crude Oil Prices: Exploring Dynamic Linkages and Implications for Climate Financing,Haseen Ahmed,2026.0,Computational Economics,0.0,0.0,0.074,False
10.62915/2474-4921.1157,Toto: A Game of Thrones in the U.S. -- An International Marketing Case Study,Rachael Amatriain,2019.0,Kennesaw Journal of Undergraduate Research,0.0,0.0,0.074,False
10.2139/ssrn.5339153,Climate Finance and International Investment Law: Legal Barriers and Pathways in the Paris Agreement Era,Gloria Montinaro,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5340457,Pricing Climate Physical Risks in Bond Markets: Can Adaptation Strategies Help? Evidence from China,Hongling Guo,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5344975,International Climate Finance: A Quantitative Economic Evaluation,Na Huang,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.37284/ajccrs.4.1.3014,A Rapid Literature Review of Climate Financing for Youths in Sub-Saharan Africa,Lord Offei-Darko,2025.0,African Journal of Climate Change and Resource Sustainability,0.0,0.0,0.074,False
10.2139/ssrn.5348947,Designing Scale-Sensitive Risk-Sharing Models for Financing Green Hydrogen in India,Janardhana Anjanappa,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5349076,Institutionalizing Credibility: A Digital Transparency Blueprint for Sovereign Climate Finance in Emerging&amp;nbsp;Markets&amp;nbsp;&lt;br&gt;,Luis M Duran Cornelio,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.22214/ijraset.2025.69867,Challenges in Developing Hydrogen Infrastructure in Emerging Economies: Focus on India,Atharva Kulkarni,2025.0,International Journal for Research in Applied Science and Engineering Technology,0.0,0.0,0.074,False
10.36311/2025.978-65-5954-580-3,European Union and Brazil: innovative and sustainable strategies for cooperation,Diego Trindade d’Ávila Magalhães,2025.0,Faculdade de Filosofia e Ciências eBooks,0.0,0.0,0.074,False
10.54097/x0g0ny97,The Mechanism of Green Finance to Prevent the Risks Brought by Climate Change to Economic Development.,Mingjiang Han,2024.0,Highlights in Business Economics and Management,0.0,0.0,0.074,False
10.2139/ssrn.5200596,"Climate Transition, Decarbonization Framework and Energy Sustainability in ECOWAS Region",Godwin Nwaobi,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5201799,Green Bond Returns and the Dynamics of Green and Conventional Financial Markets: An Analysis Using a Thick Pen,Marc Gronwald,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5215932,Firm Selection and Growth in Carbon Offset Markets: Evidence from the Clean Development Mechanism,Chen Qiao-yi,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2208/proge.10.75,Present status of Clean Development Mechanism (CDM) and the role of civil engineering,Kazuhito Yamada,2002.0,Chikyuu Kankyou Shimpojiumu kouen rombunshuu,0.0,0.0,0.074,False
10.2139/ssrn.5271602,The Role of Islamic Finance in Unlocking Investment for Climate Adaptation,Ahsan Kibria,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5275108,A strategic approach towards sustainable development: Scaling climate finance mechanisms for climate change in India,Sanjay Bhayani,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.36948/ijfmr.2025.v07i04.37481,Evolution and Significance of Green Bonds in Sustainable Finance,Yogendra Sing Gowa -,2025.0,International Journal For Multidisciplinary Research,0.0,0.0,0.074,False
10.36369/2616-9045/2025/v14i1.2a1,Diaspora Finance: A Pathway to Strengthening Climate Resilience in Sub-Saharan Africa,Eunice Annan-Aggrey,2025.0,African Journal of Governance and Development (AJGD),0.0,0.0,0.074,False
10.2139/ssrn.5241361,Achieving Environmental Justice: The Role of Climate Finance and International Cooperation between Developed and Developing Countries,C. Xu,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5245497,"Fostering Sustainable Development in South Africa: Exploring the Synergistic Interplay of Climate Finance, Financial Development, and Economic Growth",Irfan Ullah Khan,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5349276,How Does Climate Finance Affect Corporate Risk-Taking?,Jian Zhou,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5353141,"Call for Papers: Making Climate Finance Work - Insights from Ethics, Economics, and Law",Cynthia A. Williams,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5359436,Navigating Climate Change: How Do Adaptation Initiatives Affect Bank versus Bond Financing?,Sabri Boubaker,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5362719,Multi-Algorithm Collaboration and Dynamic Feature Mining for Carbon Market Price Forecasting Model,Yixuan Li,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5364160,Climate Change Risk and Financial Stability in BRICS Countries: The Moderating Role of Climate Finance,Muhammad Zahid Iqbal,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5248841,Assessing Community-Level Engagement with Green Financial Instruments -A Big Data Approach,Hilda Afeku-Amenyo,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5331382,"Africa's Push for Equity at SB62: Climate Finance, Technology Transfer, and the Road to COP30",Lavenda Ochieng,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.33712/mana.1554697,The Impact of Economy and Ecology Integration on Employment in the Context of Sustainable Development Goals and European Green Deal,Yunus Emre Ertoş,2025.0,Uluslararası Yönetim Akademisi Dergisi,0.0,0.0,0.074,False
10.33763/finukr2025.06.059,Improving institutional support for climate financing,Олена Щербакова,2025.0,Fìnansi Ukraïni,0.0,0.0,0.074,False
10.33763/npndfi2024.03.045,Institutional support for climate financing in countries worldwide,Олена Щербакова,2025.0,Naukovi pratsi NDFI,0.0,0.0,0.074,False
10.33763/npndfi2024.04.036,Developing climate finance: international context,Олена Щербакова,2025.0,Naukovi pratsi NDFI,0.0,0.0,0.074,False
10.3389/fclim.2025.1707039.s001,Table 1_The canary and the crucible: Fiji’s climate stewardship and a blueprint for planetary resilience.docx,Shifadjzic Khan (22658897),2025.0,Figshare,0.0,0.0,0.074,False
10.2139/ssrn.5287331,Climate Finance for Adaptation and Sustainable Development in India,Purnamita Dasgupta,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5309016,Bank Climate Commitments and the Geography of Cross-Border Lending,Laura Capera-Romero,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5326027,Does climate and biodiversity sentiment drive volatility in financial markets? Evidence from green stocks,Rıza Demirer,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.36407/serambi.v7i3.1683,Ensuring the credibility and sharia compliance of sovereign green sukuk to achieve net zero emissions in Indonesia,Sheila Noor Baity,2025.0,SERAMBI Jurnal Ekonomi Manajemen dan Bisnis Islam,0.0,0.0,0.074,True
10.4314/jsdlp.v16i3.13,Climate Targets And Financial Challenges In The Global South: The Case Of Carbon Capture And Storage,Eduardo G. Pereira,2025.0,Journal of Sustainable Development Law and Policy (The),0.0,0.0,0.074,False
10.4018/979-8-3373-0624-7.ch003,Climate Finance for Financial Sustainability,Anam Fazal,2025.0,,0.0,0.0,0.074,False
10.4018/979-8-3373-0624-7.ch002,Global Governance for Climate Finance,Ananya Pandey,2025.0,,0.0,0.0,0.074,False
10.22271/allresearch.2025.v11.i6a.12633,Carbon trading mechanisms in global and national contexts: A pathway to climate mitigation,N Krishna Priya,2025.0,International Journal of Applied Research,0.0,0.0,0.074,False
10.2139/ssrn.5364590,&lt;p&gt;How to Scale up Effective International Climate Finance by the EU: Tax Coalitions and Jurisdictional Reward Funds for the Case of Fossil Fuel&lt;/p&gt;,Ottmar Edenhofer,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5179167,Climate Finance Bias and Discriminations in China: Equality and Poverty,Shuqin Gao,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5179405,FINANCING A GREENER FUTURE: THE ROLE OF CLIMATE FINANCE,Pamela Anyaokei,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.2139/ssrn.5192899,Analyzing Barriers to Green Public Financial Management in Climate-Vulnerable Nations: The Case of Somaliland,Abdiqani Muse Hassan,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.36948/ijfmr.2025.v07i04.50887,Climate Change and Renewable Resources in India: A Comprehensive Analysis for Sustainable Development,C Papi Reddy,2025.0,International Journal For Multidisciplinary Research,0.0,0.0,0.074,False
10.37155/2972-4813-gep0303-8,Smart Urbanization and Green Infrastructure in Mitigating Climate Change in the Asia,Unmana Sarangi,2025.0,Global Economic Perspectives,0.0,0.0,0.074,False
10.2139/ssrn.5346714,Institutionalizing Credibility: A Digital Transparency Blueprint for Sovereign Climate Finance in Emerging Markets&amp;nbsp; &lt;div&gt; &lt;br&gt;&lt;/div&gt;,Luis M Duran Cornelio,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.4324/9781003499138-5,Climate Finance,Ewa Kulińska-Sadłocha,2025.0,,0.0,0.0,0.074,False
10.2139/ssrn.5245892,Climate Finance and Carbon Emissions in Emerging Economies: Does Trade Dependency Matter?,Yu Liu,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.38193/ijrcms.2025.7634,RENEWABLE ENERGY AND CERTIFIED EMISSION REDUCTIONS: A STRATEGIC PATHWAY FOR INDIAN FIRMS TOWARDS NET ZERO,Dr. P. Santhi,2025.0,International Journal of Research In Commerce and Management Studies,0.0,0.0,0.074,False
10.46830/wrien.25.00030,Financing country platforms,Melanie Robinson,2025.0,,0.0,0.0,0.074,False
10.4324/9781003518617-16,Islamic Green Finance Risk Assessment and Mitigation for Banks in Pakistan,Aliza Aijaz,2025.0,,0.0,0.0,0.074,False
10.4324/9781003518617-19,Mitigating Financed Emissions in Financial Institutions through Islamic and Green Finance,Saheed Olanrewaju Issa,2025.0,,0.0,0.0,0.074,False
10.36956/rwae.v6i4.2337,Green Finance and the Transformation of Agricultural Structure in China: Empirical Evidence from Urban Panel Data (2013–2023),Min Cao,2025.0,Research on World Agricultural Economy,0.0,0.0,0.074,False
10.36948/ijfmr.2025.v07i04.53991,Prospects of Nuclear Power Programme in Ghana: Internal and External Constraints and Opportunities,Caleb Oppong,2025.0,International Journal For Multidisciplinary Research,0.0,0.0,0.074,False
10.36948/ijfmr.2025.v07i04.54192,Mobilizing Domestic Resources for Climate Change Finance through Tax Policy in Developing Countries: A Literature Review,Mubanga Chapatuka,2025.0,International Journal For Multidisciplinary Research,0.0,0.0,0.074,False
10.36948/ijfmr.2025.v07i06.65154,Lessons From Copenhagen to Delhi: How India Can Improve Its CCPI Performance,Adarsh Srivastava,2025.0,International Journal For Multidisciplinary Research,0.0,0.0,0.074,False
10.2139/ssrn.5247525,Climate Risks and High-Quality Financial Development,Chenling Wu,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.4018/979-8-3373-0624-7,Climate Finance Practices for Sustainability Investments,,2025.0,,0.0,0.0,0.074,False
10.4018/979-8-3373-0624-7.ch001,Global Climate Finance Ecosystem,Mehmet Eryiğit,2025.0,,0.0,0.0,0.074,False
10.25236/ajbm.2025.070722,A Multi-Source Time Series Forecasting Framework Based on Informer for Climate Finance and Industrial Economy,"<p>Haoyu Wu<sup>1</sup>, Jingwen Zhang<sup>2</sup></p>",2025.0,Academic Journal of Business & Management,0.0,0.0,0.074,False
10.25330/3007,"Climate Justice 101: Essential Knowledge, Tools, and Ideas to Drive Action Worldwide",Global Campus Alumni,2025.0,eiuc.gc.repository,0.0,0.0,0.074,False
10.36948/ijfmr.2025.v07i03.48608,The Effects of Climate Change: A Global Crisis Unfolding,Raju Chauhan,2025.0,International Journal For Multidisciplinary Research,0.0,0.0,0.074,False
10.26599/ecm.2025.9400017,Aligning China’s local and national carbon markets under global carbon pricing,Chunyan Dai,2025.0,Energy and climate management.,0.0,0.0,0.074,False
10.2139/ssrn.5719658,A Post-COVID Macroprudential Framework for Climate Risk Stress Testing in the Banking Sector,Imran Hussain Shah,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.4018/979-8-3373-5198-8.ch002,Climate Finance,Ananya Pandey,2025.0,,0.0,0.0,0.074,False
10.46254/an15.20250041,The Impact of Economic Growth and Population to Reduce Carbon Emission in Developed Countries,SM Vanitha,2025.0,,0.0,0.0,0.074,False
10.46299/j.isjel.20250403.08,Climate change and the use of metaphors in public narratives,Tetiana Myroniuk,2025.0,International Science Journal of Education & Linguistics,0.0,0.0,0.074,False
10.4324/9781003499138-4,Carbon Finance,Yuliia Shapoval,2025.0,,0.0,0.0,0.074,False
10.36311/2025.978-65-5954-580-3.p67-78,Sustainable Transformation: The role of INYAGA/UFRJ in the Brazil-Eu connection,K. J. D. e. Silva,2025.0,Faculdade de Filosofia e Ciências eBooks,0.0,0.0,0.074,False
10.4018/979-8-3693-4525-2.ch006,Green and Circular Supply Chain Finance Supported by Carbon-Twin Accounting,Hamed Nozari,2025.0,,0.0,0.0,0.074,False
10.26481/mup.law.rps.2502,The Price of Meat in International Climate Change Law,Michaël Faure,2025.0,,0.0,0.0,0.074,False
10.54097/ajst.v5i2.6462,"Research on the Influence of Energy Consumption Structure on the Development of ""Double Carbon"" in Tibet",Chengpeng Liu,2023.0,Academic Journal of Science and Technology,0.0,0.0,0.074,False
10.1002/pa.70109,<scp>ESG</scp> Performance and Green Bond Issuance in Indian Financial Institutions: The Moderating Role of Profitability,Tuba Mahfooz,2026.0,Journal of Public Affairs,0.0,0.0,0.074,False
10.1002/sd.70657,Towards Net‐Zero Energy Transition: A Detailed Climate Change Integrated Green Finance Policy Investment Framework for Qatar,Furkan Ahmad,2026.0,Sustainable Development,0.0,0.0,0.074,False
10.1016/j.sftr.2026.101661,"Exploring the interconnections between climate-green bond financing, sustainable environment and financial markets in Sub-Saharan Africa",Charles O. Manasseh,2026.0,Sustainable Futures,0.0,0.0,0.074,False
10.1017/9781009589147,Financing Urban Transitions to Climate Neutrality and Increased Resilience in Cities,Peter B. Meyer,2026.0,Cambridge University Press eBooks,0.0,0.0,0.074,False
10.1146/annurev.eg.1.091306.100001,Preface,Isak Stoddard,1976.0,Annual Review of Energy,0.0,0.0,0.074,False
10.36922/ajwep025090057,Water scarcity in Asian nations and the path to resilience,Muhammad Khalid Anser,2025.0,Asian Journal of Water Environment and Pollution,0.0,0.0,0.074,False
10.2139/ssrn.5233154,Productive Climate Finance *,Julia Meyer,2025.0,SSRN Electronic Journal,0.0,0.0,0.074,False
10.10520/ejc-defa_v7_n3_a8,"Climate change disruptions, development financing and Africa’s future after COP27",George Kararach,,RePEc: Research Papers in Economics,0.0,0.0,0.074,False
